id,product_name,price,url,discount,resulation
14.01.006.263,  Asus TUF Gaming GeForce GTX 1660 Ti EVO TOP Edition 6GB GDDR6 Graphics Card #TUF-GTX1660TI-T6G-EVO-GAMING,"Tk 47,500 ",https://www.ryanscomputers.com/asus-tuf-gaming-geforce-gtx-1660-ti-evo-top-edition-6gb-gddr6-graphics-card,Ecom Discount Tk 500,Multi Display Capability - Quad Display
14.01.006.268,  Asus TUF Gaming GeForce GTX 1660 Ti EVO OC Edition 6GB GDDR6 Graphics Card #TUF-GTX1660TI-O6G-EVO-GAMING,"Tk 47,500 ",https://www.ryanscomputers.com/asus-tuf-gaming-geforce-gtx-1660-ti-evo-oc-edition-6gb-gddr6-graphics-card-tuf-gtx1660ti-o6g-evo-gaming,Ecom Discount Tk 200,Multi Display Capability - Quad Display
14.01.006.279,  Asus ROG Strix LC GeForce RTX 3090 Ti OC Edition 24GB GDDR6X Graphics Card #ROG-STRIX-LC-RTX3090TI-O24G-GAMING,"Tk 370,000 ",https://www.ryanscomputers.com/asus-rog-strix-lc-geforce-rtx-3090-ti-oc-edition-24gb-gddr6x-graphics-card,"Ecom Discount Tk 2,000",Multi Display Capability - Quad Display
14.01.006.218,  Asus ROG Strix GeForce RTX 3090 24GB GDDR6X Graphics Card #ROG-STRIX-RTX3090-O24G-GAMING,"Tk 267,000 ",https://www.ryanscomputers.com/asus-rog-strix-geforce-rtx-3090-24gb-gddr6x-graphics-card-rog-strix-rtx3090-o24g-gaming,"Ecom Discount Tk 1,000",Multi Display Capability - Quad Display
14.01.706.118,  ZOTAC GAMING GeForce RTX 3090 Ti AMP Extreme Holo 24GB GDDR6X Graphics Card #ZT-A30910B-10P,"Tk 231,500 ",https://www.ryanscomputers.com/zotac-gaming-geforce-rtx-3090-ti-amp-extreme-holo-24gb-gddr6x-graphics-card,Ecom Discount Tk 500,Graphics Resolution Max. - 7680 x 4320
14.01.006.229,  Asus NVIDIA GeForce TUF Gaming RTX 3090 OC Edition 24GB GDDR6X Graphics Card,"Tk 227,000 ",https://www.ryanscomputers.com/asus-nvidia-geforce-tuf-gaming-rtx-3090-oc-edition-24gb-gddr6x-graphics-card,"Ecom Discount Tk 1,000",Multi Display Capability - Quad Display
14.01.690.20,  PNY GeForce RTX 4090 XLR8 Gaming VERTO EPIC-X RGB Overclocked Triple Fan 24GB GDDR6X Graphics Card #VCG409024TFXXPB1-O,"Tk 220,000 ",https://www.ryanscomputers.com/pny-geforce-rtx-4090-xlr8-gaming-verto-epic-x-rgb-overclocked-triple-fan-24gb-gddr6x-graphics-card,"Ecom Discount Tk 1,000",
14.01.006.246,  Asus ROG Strix Nvidia GeForce RTX 3080 Ti 12GB GDDR6X Graphics Card #ROG-STRIX-RTX3080TI-O12G-GAMING,"Tk 187,000 ",https://www.ryanscomputers.com/asus-rog-strix-nvidia-geforce-rtx-3080-ti-12gb-gddr6x-graphics-card,"Ecom Discount Tk 1,000",Multi Display Capability - Quad Display
14.01.006.261,  Asus TUF Gaming GeForce RTX 3080 Ti OC Edition 12GB GDDR6X Graphics Card #TUF-RTX3080TI-O12G-GAMING,"Tk 170,000 ",https://www.ryanscomputers.com/asus-tuf-gaming-geforce-rtx-3080-ti-oc-edition-12gb-gddr6x-graphics-card,"Ecom Discount Tk 1,000",Multi Display Capability - Quad Display
14.02.018.343,  Gigabyte AORUS Radeon RX 6900 XT MASTER 16G 16GB GDDR6 Graphics Card #GV-R69XTAORUS M-16GD,"Tk 169,000 ",https://www.ryanscomputers.com/gigabyte-aorus-radeon-rx-6900-xt-master-16g-16gb-gddr6-graphics-card,"Ecom Discount Tk 1,000",Multi Display Capability - Quad Display
14.02.018.342,  Gigabyte AORUS AMD Radeon RX 6900 XT XTREME WATERFORCE WB 16G 16GB Graphics Card #GV-R69XTAORUSX WB-16GD,"Tk 169,000 ",https://www.ryanscomputers.com/gigabyte-aorus-amd-radeon-rx-6900-xt-xtreme-waterforce-wb-16g-16gb-graphics-card,"Ecom Discount Tk 1,000",Multi Display Capability - Quad Display
14.01.018.348,  Gigabyte GeForce RTX 3060 EAGLE 12G 12GB GDDR6 Graphics Card #GV-N3060EAGLE-12GD (Bunde with PC),"Tk 47,000 ",https://www.ryanscomputers.com/gigabyte-geforce-rtx-3060-eagle-12g-12gb-gddr6-graphics-card,no ecommerce discount,Multi Display Capability - Quad Display
14.01.018.324,  Gigabyte GeForce RTX 3060 EAGLE OC 12G 12GB GDDR6 Graphics Card #GV-N3060EAGLE OC-12GD (Bundle with PC),"Tk 47,000 ",https://www.ryanscomputers.com/gigabyte-geforce-rtx-3060-eagle-oc-12g-12gb-gddr6-graphics-card,no ecommerce discount,Multi Display Capability - Quad Display
14.01.006.286,  Asus Dual GeForce RTX 3050 8GB GDDR6 Graphics Card #DUAL-RTX3050-8G,"Tk 45,500 ",https://www.ryanscomputers.com/asus-dual-geforce-rtx-3050-8gb-gddr6-graphics-card,no ecommerce discount,Graphics Resolution Max. - 7680 x 4320
14.01.100.22,  Colorful GeForce RTX 2060 NB DUO 12G-V 12GB GDDR6 Graphics Card #212327110850,"Tk 44,500 ",https://www.ryanscomputers.com/colorful-geforce-rtx-2060-nb-duo-12g-v-12gb-gddr6-graphics-card,Ecom Discount Tk 500,
14.01.018.365,  Gigabyte GeForce GTX 1630 OC 4G 4GB GDDR6 Graphics Card #GV-N1630OC-4GD,"Tk 19,500 ",https://www.ryanscomputers.com/gigabyte-geforce-gtx-1630-oc-4g-4gb-gddr6-graphics-card-gv-n1630oc-4gd,no ecommerce discount,Graphics Resolution Max. - 7680 x 4320
14.01.018.233,  Gigabyte NVIDIA GeForce GT 1030 OC 2GB DDR5 Graphics Card #GV-N1030OC-2GI,"Tk 10,000 ",https://www.ryanscomputers.com/gigabyte-nvidia-geforce-gt-1030-oc-2gb-ddr5-graphics-card-gv-n1030oc-2gi,no ecommerce discount,Multi Display Capability - Dual Display
14.01.033.185,  MSI GeForce GT 1030 AERO ITX 2GD4 OC 2GB GDDR4 Graphics Card,"Tk 10,000 ",https://www.ryanscomputers.com/msi-geforce-gt-1030-aero-itx-2gd4-oc-2gb-gddr4-graphics-card,Ecom Discount Tk 200,
14.01.018.332,  Gigabyte GeForce GT 1030 Low Profile D4 2G 2GB GDDR4 Graphics Card #GV-N1030D4-2GL,"Tk 9,500 ",https://www.ryanscomputers.com/gigabyte-geforce-gt-1030-low-profile-d4-2g-2gb-gddr4-graphics-card-gv-n1030d4-2gl,Ecom Discount Tk 100,Multi Display Capability - Dual Display
14.03.024.02,  Intel Arc A-Series A770 8GB GDDR6 Graphics Card,,https://www.ryanscomputers.com/intel-arc-a-series-a770-8gb-gddr6-graphics-card,no ecommerce discount,Multi Display Capability - Quad Display
14.01.018.368,  Gigabyte GeForce RTX 4080 AERO OC 16GB GDDR6X Graphics Card,"Tk 189,000 ",https://www.ryanscomputers.com/gigabyte-geforce-rtx-4080-aero-oc-16gb-gddr6x-graphics-card,no ecommerce discount,Graphics Resolution Max. - 7680 x 4320
14.01.690.21,  PNY GeForce RTX 4080 XLR8 Gaming Verto EPIC-X RGB Triple Fan OC 16GB GDDR6X Graphics Card #VCG408016TFXXPB1-O,"Tk 173,000 ",https://www.ryanscomputers.com/pny-geforce-rtx-4080-xlr8-gaming-verto-epic-x-rgb-triple-fan-oc-16gb-gddr6x-graphics-card,no ecommerce discount,Graphics Resolution Max. - 7680 x 4320
14.02.033.196,  MSI Radeon RX 6750 XT MECH 2X 12G OC 12GB GDDR6 Graphics Card,"Tk 76,900 ",https://www.ryanscomputers.com/msi-radeon-rx-6750-xt-mech-2x-12g-oc-12gb-gddr6-graphics-card,no ecommerce discount,Multi Display Capability - Quad Display
14.01.100.37,  Colorful GeForce GT730K 4GD3 V2-V 4GB GDDR3 Graphics Card #212327069806,"Tk 7,600 ",https://www.ryanscomputers.com/colorful-geforce-gt730k-4gd3-v2-v-4gb-gddr3-graphics-card,Ecom Discount Tk 100,
14.01.743.05,  Afox GeForce GT 710 2GB GDDR3 Graphics Card,"Tk 5,800 ",https://www.ryanscomputers.com/afox-geforce-gt-710-2gb-gddr3-graphics-card,no ecommerce discount,Graphics Resolution Max. - 2048 x 1536
14.01.743.04,  Afox GeForce GT 610 2GB GDDR3 Graphics Card #AF610-2048D3L5/AF610-2048D3L7,"Tk 4,800 ",https://www.ryanscomputers.com/afox-geforce-gt-610-2gb-gddr3-graphics-card,no ecommerce discount,Graphics Resolution Max. - 2560 x 1600
